id,name,category,subcategory,price,original_price,description,specifications,image_url,stock_quantity,brand,rating,review_count,tags,weight,dimensions,color_options,size_options,is_featured,created_date
1,Samsung Pro Smartphones,Electronics,Smartphones,26024,32992,"Experience cutting-edge technology with this premium smartphones from Samsung. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Eco-friendly and sustainable.","{""storage"": ""64GB"", ""ram"": ""4GB"", ""camera"": ""87MP"", ""battery"": ""3864mAh"", ""display"": ""5.5 inch"", ""os"": ""Android"", ""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x400/?smartphone-technology,268,Samsung,4.2,1154,"electronics, smartphones, samsung, sale",3.28,44x23x12,"Brown, Green, Black, Red",One Size,FALSE,2024-12-14
2,OnePlus Max Smartphones,Electronics,Smartphones,22110,36204,"Experience cutting-edge technology with this premium smartphones from OnePlus. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Modern design meets functionality.","{""storage"": ""64GB"", ""ram"": ""4GB"", ""camera"": ""60MP"", ""battery"": ""3198mAh"", ""display"": ""6.0 inch"", ""os"": ""iOS"", ""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x500/?smartphone-technology,423,OnePlus,3.1,945,"electronics, smartphones, oneplus, bestseller, budget, sale",2.8,50x29x16,"Maroon, White",One Size,TRUE,2024-08-21
3,Nikon Plus Smartphones,Electronics,Smartphones,13229,20794,"Experience cutting-edge technology with this premium smartphones from Nikon. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Fast delivery available.","{""storage"": ""64GB"", ""ram"": ""12GB"", ""camera"": ""47MP"", ""battery"": ""3928mAh"", ""display"": ""6.3 inch"", ""os"": ""iOS"", ""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x500/?smartphone-technology,191,Nikon,3.4,551,"electronics, smartphones, nikon, sale, bestseller, trending",2.72,25x15x19,"Green, Navy, Gray, Blue",One Size,FALSE,2024-02-27
4,LG Pro Smartphones,Electronics,Smartphones,28673,38245,"Experience cutting-edge technology with this premium smartphones from LG. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Easy to use and maintain.","{""storage"": ""128GB"", ""ram"": ""8GB"", ""camera"": ""39MP"", ""battery"": ""4342mAh"", ""display"": ""6.1 inch"", ""os"": ""iOS"", ""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x500/?smartphone-technology,81,LG,3.5,1154,"electronics, smartphones, lg, premium, new arrival, budget",4.5,35x21x12,"Gray, Purple",One Size,FALSE,2024-02-18
5,Samsung Max Smartphones,Electronics,Smartphones,49120,60641,"Experience cutting-edge technology with this premium smartphones from Samsung. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Excellent customer reviews.","{""storage"": ""512GB"", ""ram"": ""4GB"", ""camera"": ""61MP"", ""battery"": ""3781mAh"", ""display"": ""6.3 inch"", ""os"": ""iOS"", ""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x500/?smartphone-technology,293,Samsung,4.7,28,"electronics, smartphones, samsung, sale, bestseller, premium",3.87,31x13x14,"Red, Purple, Black, Green",One Size,FALSE,2024-07-01
6,Oppo Pro Smartphones,Electronics,Smartphones,48979,63167,"Experience cutting-edge technology with this premium smartphones from Oppo. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Excellent customer reviews.","{""storage"": ""128GB"", ""ram"": ""6GB"", ""camera"": ""59MP"", ""battery"": ""4561mAh"", ""display"": ""5.7 inch"", ""os"": ""Android"", ""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x500/?smartphone-technology,260,Oppo,3,1907,"electronics, smartphones, oppo, premium, trending",0.38,46x40x7,Maroon,One Size,FALSE,2024-03-11
7,Nikon Lite Smartphones,Electronics,Smartphones,16241,19856,"Experience cutting-edge technology with this premium smartphones from Nikon. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Trusted by millions of customers.","{""storage"": ""128GB"", ""ram"": ""8GB"", ""camera"": ""79MP"", ""battery"": ""4786mAh"", ""display"": ""6.3 inch"", ""os"": ""Android"", ""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x600/?smartphone-technology,363,Nikon,3.4,643,"electronics, smartphones, nikon, sale, premium",2.25,43x24x8,"Blue, White",One Size,FALSE,2024-01-22
8,Boat Lite Smartphones,Electronics,Smartphones,23080,32835,"Experience cutting-edge technology with this premium smartphones from Boat. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Easy to use and maintain.","{""storage"": ""64GB"", ""ram"": ""4GB"", ""camera"": ""41MP"", ""battery"": ""3138mAh"", ""display"": ""6.7 inch"", ""os"": ""iOS"", ""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x600/?smartphone-technology,131,Boat,3.6,999,"electronics, smartphones, boat, new arrival",0.75,46x28x20,"Purple, Pink",One Size,FALSE,2024-04-06
9,Samsung SE Smartphones,Electronics,Smartphones,36249,47606,"Experience cutting-edge technology with this premium smartphones from Samsung. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Trusted by millions of customers.","{""storage"": ""512GB"", ""ram"": ""4GB"", ""camera"": ""98MP"", ""battery"": ""4338mAh"", ""display"": ""6.8 inch"", ""os"": ""Android"", ""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x500/?smartphone-technology,382,Samsung,3.7,1769,"electronics, smartphones, samsung, trending",1.04,44x24x9,"Red, Green, Purple, Blue",One Size,FALSE,2025-03-29
10,Nikon Lite Smartphones,Electronics,Smartphones,14416,17216,"Experience cutting-edge technology with this premium smartphones from Nikon. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Perfect gift for loved ones.","{""storage"": ""64GB"", ""ram"": ""4GB"", ""camera"": ""108MP"", ""battery"": ""4738mAh"", ""display"": ""5.8 inch"", ""os"": ""iOS"", ""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/500x500/?smartphone-technology,119,Nikon,4.7,1853,"electronics, smartphones, nikon, trending",1.96,34x18x30,"Green, Pink, Gray, Purple",One Size,FALSE,2024-07-13
